0,1,2,3,4,5,6
Task,Description,David Baddiel,Ed Gamble,Jo Brand,Katy Wix,Rose Matafeo
Episode 1: Join our cult. (4 September 2019),,,,,,
1,Prize: Most stressful thing.,4,2,3,5,2
2,Hide three aubergines from Alex in this room.,1,5,2 1,3 1,4
3,Arrange the lollies in rainbow order while blindfolded. You may only take off the blindfold if you find the dodo statue. You may only accuse one statue of being a dodo.,3,5,3,1,5
4,Make the most dramatic entrance.,1,4,4,3,5
5,Live: Draw the second longest snake on the toilet paper. It must be at least half an inch wide at all points. It must be rolled up at the end.,5,0,0,0,0
Bonus: Best snake.,0,0,0,0,1,
Total,14,16,12 1,12 1,17,
Episode 2: Butter in the microwave. (11 September 2019),,,,,,
1,Prize: Best bag.,1,2,3,4,5
2,Correctly identify which bin Alex is in. You have one guess. You may not open a bin unless authorised. You may wheel one bin three metres. You may gently shake one bin. You may strike one bin with a frying pan. You may push one bin over. You may listen to one bin with a stethoscope. You may avert your eyes and drop one thing into one bin. You may phone Alex from the phone box.,4,5,0,0,0
3,"Draw a portrait of the Taskmaster using 16 A1 pages. You may not remove the A1 pages from the flipchart during your drawing. After the task, the A1 pages will be laid out in the pattern shown on the front page. You may only draw on the flipchart paper.",1,3,4,5,3
4,Team: Complete the adventure (by saying the word demeaning). You may only open one task after completing the previous. You must remain together.,3,5,3,5,5
5,Live: Make a lovely little ball arrangement.,1,4,5,4,2
"Live: Flatten the yellow balls, throw the red balls into the bucket and mould the blue balls into one.",,,,,,
Total,10,19,15,18,15,
Episode 3: Five miles per day. (18 September 2019),,,,,,
1,Prize: Weirdest wooden thing.,5,3,1,4,2
2,Enter the caravan within 2 minutes of Alex.,4,3,1,5,2
"Recall the items hanging from the wooden board in the lab, as well as the colour of the board and everything Alex said to you.",,,,,,
3,"Build the most robust statue of the most delicate thing. It must be recognisable and left on the red cross, and it should leave you feeling enormously proud.",2,2,3,5,4
Score a goal with this steamroller.,1,3,4,2,5,
4,Break something into the most pieces and completely fix it.,2,1,5,3,4
5,"Live: While wearing a blindfold, fill a pint glass with water. If you make a mess, you're disqualified.",3,5,1,4,3
Total,17,17,15,23,20,
Episode 4: Quisps. (25 September 2019),,,,,,
1,Prize: Best thing to celebrate with on a stage,3,5,4,2,2
2,Make the most striking water feature.,4,5,2,1,3
3,Team: Bring a classic board game to life.,3,3,3,3,3
4,Say a letter of the alphabet.,0,0,0,0,0
Extra: Pick a letter of the alphabet and say it out loud.,–,0,–,–,–,
Put the most things beginning with your letter of the alphabet onto the tray.,1,2,3,4,5,
5,"Live: Throw your things beyond the line but not off the runway. If all objects land in the safe zone, the person who threw their object the shortest is eliminated.",1,1,4,1,5
Total,12,16,16,11,18,
Episode 5: Another spoon. (2 October 2019),,,,,,
1,Prize: Best defunct thing.,5,2,3,4,1
2,Lasso Alex. You must remain behind the line at all times.,1,2,5,3,4
3,"Make the most accurate and inventive egg timer. You may not incorporate any timekeeping devices. Alex will boil an egg using your timer – they should be runny, but not too runny.",2,1,5,3,4
4,"Team: Get to know this person. You will be tested - you may not write anything down. You will take it in turns to ask completely different questions. He will cycle between telling the truth, lying and bragging, but not necessarily starting with the truth.",2,4,2,4,4
Bonus: Recreate the person's 'big tongue' party trick.,0,0,1,0 2,0,
5,"Live: Looking at your mirror at all times, build the highest tower behind you. You must remain on your spot, and use only the litter pickers.",2,5,3,2 2,5
Total,12,14,19,16,18,
Episode 6: Bready bready bready. (9 October 2019),,,,,,
1,Prize: Thing you'd be most pleased to find in a field.,3,5,4,1,2
2,Make a part of your body look abnormally long.,1,3,5,3,4
3,Push the watermelon up the slide and into the caravan using the breadsticks. Only breadsticks may touch the melon. You may not adjust the slide.,0,5,DQ,DQ,DQ
Bonus: Fewest breadsticks used.,0,0,0,1,0,
4,Perform the most sensational serenade for yourself.,2,5,5,3,5
5,Live: Slide a drink to the Taskmaster. The worst slider each round is eliminated.,4,1,2,5 3,3
Total,10,19,16,13,14,
Episode 7: A cuddle. (16 October 2019),,,,,,
1,Prize: Best thing they've taken from someone else's house.,5,3,1,4,2
2,"Get the highest single score by throwing whole eggs into the metal things. If an egg doesn’t break, it’s score is doubled. You must release your egg while on the chair and you may not move the chair or the metal things.",3,4,2,5,1
3,Forge the best Mount Rushmore.,5,4,3,5,4
4,Join your hands together so your palms touch and each finger of one hand touches the equivalent finger on the other hand. You must keep your hands in this position for the entire task. Find and put the most gold rings onto the stick.,1,5,3,5,3
5,Live: Read the Taskmaster's mind. The Taskmaster will choose a card with either a horse or a laminator. You will receive one point per card guessed right in a row.,0,1,13,5,1
Total,14,17,22,24,11,
Episode 8: Shaqinahat. (23 October 2019),,,,,,
1,Prize: Best thing from a shed.,2,4,5,1,3
2,Throw something from the longest distance into the pedal bin. The bin must be closed when you throw your thing.,1,5,4,2 4,3 4
3,Write the best lyrics to the Taskmaster theme tune and perform them in the most memorable way.,2,4,1,3,5
4,Team: Supply the sound for the film. You will have one attempt to make the sounds in time with the film.,2,3,2,3,3
