0,1,2,3,4,5,6
5,"Live: Without adjusting your mask, draw your own face on the front of your welder's mask. It should be life-size, and either very happy or very angry.",3,4,3,5,4
Total,10,20,15,15 4,17 4,
Episode 9: Don't like them go bang. (30 October 2019),,,,,,
1,Prize: Most desirable smooth thing.,5,4,4,4,4
2,Subtly deliver a five word instruction to Alex in the most spy-like way. Alex will then perform your instruction.,5,2,4,3,2
3,"Inflate, tie and pop the most balloons. After you pop your first balloon, you may not inflate any more. If any balloons remain inflated after 10 minutes, you'll be disqualified. Also, you may not look at any timing devices at any point.",3,5,DQ,DQ,4
4,"Make either a knee and a knee, a knee and an elbow or an elbow and an elbow look like a famous couple. You may only incorporate knees and elbows.",3,3,1,5,2
5,"Team Live: Standing in a queue, draw the most accurate pictures. Alex will show the person at the back of the queue a picture for them to draw on the back of the person in front of them. The person at the front of the queue must draw the picture they think has been drawn on their pad. Noone may communicate with anyone else.",3,3,5,5,5
Total,19,17,14,17,17,
Episode 10: Think about the spirit. (6 November 2019),,,,,,
1,Prize: Best thing that is very long and thin.,3,2,4,5,1
2,Do the most preposterous thing with this chickpea.,2,4,1,3,5
3,Team: Make the best cup of tea in this teacup. You must use all the equipment that's locked to the table. You may not use anything from the kitchen. You must wear the rubber gloves throughout.,5,1,5,1,1
4,"Complete the seven tasks. When you touch a task in any way you must complete it before opening another task. If you fail a task, you must start again. The designed 'best way' to complete the tasks are as follows: 1) Complete the jigsaw. 2) Hide the jigsaw pieces around the garden. 3) Put the wheelbarrow inside the caravan. 4) Place 20 things bigger than a tennis ball inside the wheelbarrow. They must stay in the wheelbarrow for the rest of the task. 5) Bowl the ball from behind the rope so that it knocks over at least one of the skittles. 6) Build a tower of bricks to a height of at least 26 inches on the red circle. It must stay standing for the rest of the task. 7) Put your hand on your hip and keep it there for the rest of the task.",DQ,5,DQ,DQ,DQ
5,"Live: Pull the short breadstick. Taking it in turns, take a breadstick from the person next to you. Before you pull, the breadstick bearer must wink, point to a breadstick and say ""this is the short breadstick"". If someone pulls your shortest breadstick, you are out.",0,0,0,0,5
T,Make one of the popup toys pause for the longest using one of the spreads.,–,✔,–,–,✘
Total,10,12,10,9,12,
Grand Total,128,167,154,158,159,
