0,1,2,3,4,5,6
Task,Description,Adrian Chiles,Claudia Winkleman,Jonnie Peacock,Lady Leshurr,Sayeeda Warsi
Episode 1: Basic recipe 28. (1 January 2022),,,,,,
1,"Prize: Most beguiling, unwieldy, shiny thing.",3,1,4,5,2
2,"Put the egg in the eggcup in the most daring way. If the egg breaks, you are disqualified.",5,2,DQ,3,4
3,Drink all the vinegar. Fastest wins.,5,0,4,0,0
4,"Choose a length for this pole, then guide it through the course. The person who completes the course with the longest pole wins. Every time your pole touches something other than your hands, 10cm will be taken from its length.",5,1,4,3,2
5,Live: Choose a ball.,4,2,3 1,1,5
Live: Turn your ball into a head. Your new head must be the head of one of your fellow contestants. Best head wins.,,,,,,
Total,22,6,15,12,13,
