0,1,2,3,4,5,6
5,"Wearing a sweatband around your head at all times, tuck as many items from the kitchen inside the sweatband as possible in two minutes. Then, make and eat a pancake in eight minutes. Most kitchen items successfully kept within the sweatband wins.",2,3,5,5,5
6,Live: Get an egg as close to the centre of the target as possible. The person whose egg is furthest from the target at the end of the round will be eliminated. You must roll two of your eggs.,3,5,2,1,4
Total,14,15,17,21,20,
Episode 8: What kind of pictures? (20 June 2018),,,,,,
1,Prize: Most interesting footwear.,1,5,3,2,4
2,Put something genuinely surprising inside a chocolate egg.,5,3,3,3,4
3,Find out the most remarkable thing you have in common with this woman.,2,5,3,4,2
4,"While wearing high heels, create the best dot to dot picture on the canvas.",2,1,4,3,5
5,Live: Stick a plaster to the correct body part out of three potential options. The correct body part will be the one that comes second in the dictionary. The slowest person to stick a plaster to the body part will be eliminated,3,2,4,5,1
T,Receive a text message the quickest.,–,–,✘,✔,–
Total,13,16,17,17,16,
Episode 9: The Bubble Brothers. (27 June 2018),,,,,,
1,Prize: Most pleasing thing that is the same size as a cat.,3,2,1,4,5
2,Make the biggest bubble and then burst it with your nose.,5,3,4,1,2
3,Team: Perform a song for 'Taskmaster: The Musical'.,3,2,2,3,2
S,Make an outfit of things brought from this stationary shop.,–,–,–,–,0
Guess the pun Tim made after creating an outfit of stationary.,0,0,0,0,2,
4,Make this plastic bag as heavy as possible in ten minutes. It must then hang unassisted for one minute.,3 1,4 1,5,2,1
5,Live: Pick up the most points (differently sized balls) and hold them above the ground after 100 seconds.,4,1,2,5,4
Total,18 1,12 1,14,15,16,
Episode 10: He was a different man. (4 July 2018),,,,,,
1,Prize: Least appropriate wedding accessory.,3,5,1,4,2
2,"Knock over the fewest skittles using only objects on the table. You have a choice of one item in each of the three sections, or two items in one section.",3,3,4,5,1
3,Blow out a candle from the longest distance.,3,5,0,2,4
4,Declare your love for the Taskmaster in the most meaningful way.,2,5,5,1,3
5,"Live: Pick a number - if it is higher than that of the person to your left, you earn one rosette. If it is lower than that of the person on your right, you earn another rosette. If you pick the same number as someone else, you lose all your rosettes.",5,4,0,0,3
Total,16,22,10,12,13,
Grand Total,152,159,181,170,175,
