0,1,2,3,4,5,6
Task,Description,Alice Levine,Asim Chaudhry,Liza Tarbuck,Russell Howard,Tim Vine
Episode 1: The old soft curved padlock. (2 May 2018),,,,,,
1,Prize: Best liquid.,4,1,3,1,5
2,Perform the best stunt using a wheelbarrow.,5,1,3,4,2
3,Make the highest tower using lemons in a bowl and a knife you can only wield five times.,4,1,3,5,2
4,Get to the Taskmaster's house and kiss his portrait while wearing a hat that may not come from the house. Closest to 30 minutes wins.,5,1,3,4,2
5,"Live: Sort the objects under your table in order of size, whilst keeping your elbows on the table and head in your hands. You are disqualifed if you have any fruit under the table.",DQ,4,5,4,DQ
T,Spin around as many times as you can and then kick a football at the caravan. Most spins wins.,✔,–,–,✘,–
Total,18,8,17,18,11,
Episode 2: Tarpeters. (9 May 2018),,,,,,
1,Prize: Best hairy thing which isn't alive.,2,1,4,2,5
2,"Get the highest score in darts. You may throw either 1 dart from 1 metre away, 3 darts from 2.37 metres away, or 60 darts from 10 metres.",2,3,5,1,4
3,Team: Keep Alex dry.,4,1,1,4,1
4,"Take a picture of a group of people, each holding an egg. Most eggs and people wins. You must also be in the picture.",2,3,5,4,1
5,Make this wind-up man go on the most extraordinary journey.,3,5,4,3,3
6,"Live: The Taskmaster must guess if you are concealing a grape in your hand or in your mouth. If he guesses correctly, you are disqualified.",DQ,DQ,DQ,DQ,DQ
Total,13,13,19,14,14,
Episode 3: One warm prawn. (16 May 2018),,,,,,
1,Prize: Most magnificent day trip.,1,2,4,3,5
2,Write a bedtime story for grown ups.,1,3,5,3,2
3,Make something spin for the longest period of time.,1,4,5,2,3
4,Identify the flavours of baby foods.,2,5,4,3,1
Bonus: Eat the most baby food.,0,1,0,0,0,
5,Live: Catch the most socks and put them in a laundry basket without touching any pants.,1,4,4,5,4
Total,6,19,22,16,15,
Episode 4: BMXing! (23 May 2018),,,,,,
1,Prize: Most thought-provoking thing.,3,1,2,5,4
2,Do something manly with a cardboard box in 20 minutes.,4,4,5,4,4
3,Team: Have the most fun in 3 minutes.,2,3,3,2,3
Team: Exactly recreate your fun from the previous task.,5,5,5,5,5,
4,Make the best art using an entire squirty cream can in 20 minutes.,4,1,5,3,2
5,Remove the £5 note from under the pint without spilling any of the pint or touching the pint glass.,0,4,0,5,3
6,"Live: When tapped on the shoulder, shake hands with the Taskmaster without revealing your identity.",5,0,0,0,0
Total,23,18,20,24,21,
Episode 5: H. (30 May 2018),,,,,,
1,Prize: Sturdiest thing.,4,1,5,3,2
2,"Without leaving the caravan, work out how long the piece of string is.",2,4,1,3,5
3,Pull the tablecloth off the table. Most eggs left unbroken on the table wins.,5,5,5,5,5
4,"Team: Find the link, then do it exactly 100 times.",3,5,5,3,5
5,Pull off the most elaborate snooker trick shot.,1,2,4,3,5
6,Live: Throw as many eggs onto the shelf as possible whilst lying on a bed.,1,2,5,4,4
Total,16,19,25,21,26,
Episode 6: We met at mealtimes. (6 June 2018),,,,,,
1,Prize: Best invention.,1,1,3,1,5
2,Make the best snow globe.,3,1,4,5,3
3,Team: Knock over the most ducks in five minutes without leaving the red carpet.,0,5,5,0,5
4,Make the biggest announcement.,2,5,2,1,4
5,Make the best parachute for a wooden spoon with a slow and dramatic descent.,4,1,5,2,3
6,Live: Predict how many correct answers you can give in a chosen category.,5,4,1,3,3
Total,15,17,20,12,23,
Episode 7: Roadkill doused in syrup. (13 June 2018),,,,,,
1,Prize: Scariest thing from the kitchen.,2,4,3,5,1
2,Knock the bails off of the stumps. You have a maximum of one over (six throws).,0,0,DQ,5,4
3,"Draw the best picture of the contents of the box, without opening or looking inside of it.",4,1,5,1,3
Bonus: Name the celebrity represented by the contents of the box.,0,0,0,1,1,
4,Write down as many obscure animals as possible in 3 minutes.,–,0,–,0,–
Team: Convey the animals on the list to your teammate through mime.,3,2,2,3,2,
