,season,task_episode,task_description,task_contestant,task_score
40,Series 10,Episode 2: A documentary about a despot. (22 October 2020),Get all the exercise balls in the hoops. You may not move the hoops or get out of the boat.,Daisy May Cooper,5
41,Series 10,Episode 2: A documentary about a despot. (22 October 2020),Get all the exercise balls in the hoops. You may not move the hoops or get out of the boat.,Johnny Vegas,2
42,Series 10,Episode 2: A documentary about a despot. (22 October 2020),Get all the exercise balls in the hoops. You may not move the hoops or get out of the boat.,Katherine Parkinson,3
43,Series 10,Episode 2: A documentary about a despot. (22 October 2020),Get all the exercise balls in the hoops. You may not move the hoops or get out of the boat.,Mawaan Rizwan,0
44,Series 10,Episode 2: A documentary about a despot. (22 October 2020),Get all the exercise balls in the hoops. You may not move the hoops or get out of the boat.,Richard Herring,4
45,Series 10,Episode 2: A documentary about a despot. (22 October 2020),Live: Guess the things that are making the noises.,Daisy May Cooper,6
46,Series 10,Episode 2: A documentary about a despot. (22 October 2020),Live: Guess the things that are making the noises.,Johnny Vegas,3
47,Series 10,Episode 2: A documentary about a despot. (22 October 2020),Live: Guess the things that are making the noises.,Katherine Parkinson,3
48,Series 10,Episode 2: A documentary about a despot. (22 October 2020),Live: Guess the things that are making the noises.,Mawaan Rizwan,4
49,Series 10,Episode 2: A documentary about a despot. (22 October 2020),Live: Guess the things that are making the noises.,Richard Herring,6
50,Series 10,Episode 2: A documentary about a despot. (22 October 2020),Select a wind-up dinosaur to travel the furthest distance without falling off the table.,Daisy May Cooper,0
51,Series 10,Episode 2: A documentary about a despot. (22 October 2020),Select a wind-up dinosaur to travel the furthest distance without falling off the table.,Johnny Vegas,0
52,Series 10,Episode 2: A documentary about a despot. (22 October 2020),Select a wind-up dinosaur to travel the furthest distance without falling off the table.,Katherine Parkinson,1
53,Series 10,Episode 2: A documentary about a despot. (22 October 2020),Select a wind-up dinosaur to travel the furthest distance without falling off the table.,Mawaan Rizwan,0
54,Series 10,Episode 2: A documentary about a despot. (22 October 2020),Select a wind-up dinosaur to travel the furthest distance without falling off the table.,Richard Herring,0
55,Series 10,Episode 3: Point of swivel. (29 October 2020),Prize: Best thing that probably has a spring in its mechanism.,Daisy May Cooper,1
56,Series 10,Episode 3: Point of swivel. (29 October 2020),Prize: Best thing that probably has a spring in its mechanism.,Johnny Vegas,5
57,Series 10,Episode 3: Point of swivel. (29 October 2020),Prize: Best thing that probably has a spring in its mechanism.,Katherine Parkinson,2
58,Series 10,Episode 3: Point of swivel. (29 October 2020),Prize: Best thing that probably has a spring in its mechanism.,Mawaan Rizwan,4
59,Series 10,Episode 3: Point of swivel. (29 October 2020),Prize: Best thing that probably has a spring in its mechanism.,Richard Herring,3
60,Series 10,Episode 3: Point of swivel. (29 October 2020),Make the best upside-down film.,Daisy May Cooper,2
61,Series 10,Episode 3: Point of swivel. (29 October 2020),Make the best upside-down film.,Johnny Vegas,5
62,Series 10,Episode 3: Point of swivel. (29 October 2020),Make the best upside-down film.,Katherine Parkinson,3
63,Series 10,Episode 3: Point of swivel. (29 October 2020),Make the best upside-down film.,Mawaan Rizwan,4
64,Series 10,Episode 3: Point of swivel. (29 October 2020),Make the best upside-down film.,Richard Herring,1
65,Series 10,Episode 3: Point of swivel. (29 October 2020),"Put the most spaghetti into the grapefruit. The grapefruit may not leave the room. For the last 8 minutes, you must keep both your feet inside the spot on the floor.",Daisy May Cooper,5
66,Series 10,Episode 3: Point of swivel. (29 October 2020),"Put the most spaghetti into the grapefruit. The grapefruit may not leave the room. For the last 8 minutes, you must keep both your feet inside the spot on the floor.",Johnny Vegas,3
67,Series 10,Episode 3: Point of swivel. (29 October 2020),"Put the most spaghetti into the grapefruit. The grapefruit may not leave the room. For the last 8 minutes, you must keep both your feet inside the spot on the floor.",Katherine Parkinson,1
68,Series 10,Episode 3: Point of swivel. (29 October 2020),"Put the most spaghetti into the grapefruit. The grapefruit may not leave the room. For the last 8 minutes, you must keep both your feet inside the spot on the floor.",Mawaan Rizwan,4
69,Series 10,Episode 3: Point of swivel. (29 October 2020),"Put the most spaghetti into the grapefruit. The grapefruit may not leave the room. For the last 8 minutes, you must keep both your feet inside the spot on the floor.",Richard Herring,2
70,Series 10,Episode 3: Point of swivel. (29 October 2020),"Catapult this shoe into the bath using a homemade contraption. You may only use your foot to operate the contraption. You may not move the bath or the red green, and you must build your contraption on the red green.",Daisy May Cooper,5
71,Series 10,Episode 3: Point of swivel. (29 October 2020),"Catapult this shoe into the bath using a homemade contraption. You may only use your foot to operate the contraption. You may not move the bath or the red green, and you must build your contraption on the red green.",Johnny Vegas,4
72,Series 10,Episode 3: Point of swivel. (29 October 2020),"Catapult this shoe into the bath using a homemade contraption. You may only use your foot to operate the contraption. You may not move the bath or the red green, and you must build your contraption on the red green.",Katherine Parkinson,1
73,Series 10,Episode 3: Point of swivel. (29 October 2020),"Catapult this shoe into the bath using a homemade contraption. You may only use your foot to operate the contraption. You may not move the bath or the red green, and you must build your contraption on the red green.",Mawaan Rizwan,2
74,Series 10,Episode 3: Point of swivel. (29 October 2020),"Catapult this shoe into the bath using a homemade contraption. You may only use your foot to operate the contraption. You may not move the bath or the red green, and you must build your contraption on the red green.",Richard Herring,3
75,Series 10,Episode 3: Point of swivel. (29 October 2020),Team Live: Draw a picture of your object on the turning canvas. You may not communicate with your teammates.,Daisy May Cooper,6
76,Series 10,Episode 3: Point of swivel. (29 October 2020),Team Live: Draw a picture of your object on the turning canvas. You may not communicate with your teammates.,Johnny Vegas,0
77,Series 10,Episode 3: Point of swivel. (29 October 2020),Team Live: Draw a picture of your object on the turning canvas. You may not communicate with your teammates.,Katherine Parkinson,0
78,Series 10,Episode 3: Point of swivel. (29 October 2020),Team Live: Draw a picture of your object on the turning canvas. You may not communicate with your teammates.,Mawaan Rizwan,0
79,Series 10,Episode 3: Point of swivel. (29 October 2020),Team Live: Draw a picture of your object on the turning canvas. You may not communicate with your teammates.,Richard Herring,6
80,Series 10,Episode 4: Toshwash. (5 November 2020),Prize: Cheekiest food.,Daisy May Cooper,2
81,Series 10,Episode 4: Toshwash. (5 November 2020),Prize: Cheekiest food.,Johnny Vegas,1
82,Series 10,Episode 4: Toshwash. (5 November 2020),Prize: Cheekiest food.,Katherine Parkinson,4
83,Series 10,Episode 4: Toshwash. (5 November 2020),Prize: Cheekiest food.,Mawaan Rizwan,5
84,Series 10,Episode 4: Toshwash. (5 November 2020),Prize: Cheekiest food.,Richard Herring,3
85,Series 10,Episode 4: Toshwash. (5 November 2020),Make this phone ring.,Daisy May Cooper,4
86,Series 10,Episode 4: Toshwash. (5 November 2020),Make this phone ring.,Johnny Vegas,1
87,Series 10,Episode 4: Toshwash. (5 November 2020),Make this phone ring.,Katherine Parkinson,2
88,Series 10,Episode 4: Toshwash. (5 November 2020),Make this phone ring.,Mawaan Rizwan,3
89,Series 10,Episode 4: Toshwash. (5 November 2020),Make this phone ring.,Richard Herring,5
90,Series 10,Episode 4: Toshwash. (5 November 2020),Team: Secretly put something that looks amazing in your bag.,Daisy May Cooper,5
91,Series 10,Episode 4: Toshwash. (5 November 2020),Team: Secretly put something that looks amazing in your bag.,Johnny Vegas,5
92,Series 10,Episode 4: Toshwash. (5 November 2020),Team: Secretly put something that looks amazing in your bag.,Katherine Parkinson,0
93,Series 10,Episode 4: Toshwash. (5 November 2020),Team: Secretly put something that looks amazing in your bag.,Mawaan Rizwan,0
94,Series 10,Episode 4: Toshwash. (5 November 2020),Team: Secretly put something that looks amazing in your bag.,Richard Herring,0
95,Series 10,Episode 4: Toshwash. (5 November 2020),Drop this water balloon from the greatest height without bursting it. You may not remove any water from the balloon. You have one attempt.,Daisy May Cooper,5
96,Series 10,Episode 4: Toshwash. (5 November 2020),Drop this water balloon from the greatest height without bursting it. You may not remove any water from the balloon. You have one attempt.,Johnny Vegas,5
97,Series 10,Episode 4: Toshwash. (5 November 2020),Drop this water balloon from the greatest height without bursting it. You may not remove any water from the balloon. You have one attempt.,Katherine Parkinson,5
98,Series 10,Episode 4: Toshwash. (5 November 2020),Drop this water balloon from the greatest height without bursting it. You may not remove any water from the balloon. You have one attempt.,Mawaan Rizwan,3
99,Series 10,Episode 4: Toshwash. (5 November 2020),Drop this water balloon from the greatest height without bursting it. You may not remove any water from the balloon. You have one attempt.,Richard Herring,4
100,Series 10,Episode 4: Toshwash. (5 November 2020),"Live: Roll an edible sphere across the line as slowly as possible. If your sphere stops moving before it crosses the line, you are eliminated.",Daisy May Cooper,3
101,Series 10,Episode 4: Toshwash. (5 November 2020),"Live: Roll an edible sphere across the line as slowly as possible. If your sphere stops moving before it crosses the line, you are eliminated.",Johnny Vegas,5
102,Series 10,Episode 4: Toshwash. (5 November 2020),"Live: Roll an edible sphere across the line as slowly as possible. If your sphere stops moving before it crosses the line, you are eliminated.",Katherine Parkinson,4
103,Series 10,Episode 4: Toshwash. (5 November 2020),"Live: Roll an edible sphere across the line as slowly as possible. If your sphere stops moving before it crosses the line, you are eliminated.",Mawaan Rizwan,2
104,Series 10,Episode 4: Toshwash. (5 November 2020),"Live: Roll an edible sphere across the line as slowly as possible. If your sphere stops moving before it crosses the line, you are eliminated.",Richard Herring,1
105,Series 10,Episode 5: I hate your trainers. (12 November 2020),Prize: Best pointy thing.,Daisy May Cooper,2
106,Series 10,Episode 5: I hate your trainers. (12 November 2020),Prize: Best pointy thing.,Johnny Vegas,3
107,Series 10,Episode 5: I hate your trainers. (12 November 2020),Prize: Best pointy thing.,Katherine Parkinson,4
108,Series 10,Episode 5: I hate your trainers. (12 November 2020),Prize: Best pointy thing.,Mawaan Rizwan,1
109,Series 10,Episode 5: I hate your trainers. (12 November 2020),Prize: Best pointy thing.,Richard Herring,5
110,Series 10,Episode 5: I hate your trainers. (12 November 2020),Bag the heaviest thing from the furthest distance. Your attempt ends once you bag your first item.,Daisy May Cooper,2
111,Series 10,Episode 5: I hate your trainers. (12 November 2020),Bag the heaviest thing from the furthest distance. Your attempt ends once you bag your first item.,Johnny Vegas,1
112,Series 10,Episode 5: I hate your trainers. (12 November 2020),Bag the heaviest thing from the furthest distance. Your attempt ends once you bag your first item.,Katherine Parkinson,5
113,Series 10,Episode 5: I hate your trainers. (12 November 2020),Bag the heaviest thing from the furthest distance. Your attempt ends once you bag your first item.,Mawaan Rizwan,3
114,Series 10,Episode 5: I hate your trainers. (12 November 2020),Bag the heaviest thing from the furthest distance. Your attempt ends once you bag your first item.,Richard Herring,4
115,Series 10,Episode 5: I hate your trainers. (12 November 2020),Paint a picture of a howling wolf on this teapot. You may not touch the teapot or remove it from the turntable. The turntable will keep speeding up until you name 20 US states.,Daisy May Cooper,5
116,Series 10,Episode 5: I hate your trainers. (12 November 2020),Paint a picture of a howling wolf on this teapot. You may not touch the teapot or remove it from the turntable. The turntable will keep speeding up until you name 20 US states.,Johnny Vegas,3
117,Series 10,Episode 5: I hate your trainers. (12 November 2020),Paint a picture of a howling wolf on this teapot. You may not touch the teapot or remove it from the turntable. The turntable will keep speeding up until you name 20 US states.,Katherine Parkinson,1
118,Series 10,Episode 5: I hate your trainers. (12 November 2020),Paint a picture of a howling wolf on this teapot. You may not touch the teapot or remove it from the turntable. The turntable will keep speeding up until you name 20 US states.,Mawaan Rizwan,2
119,Series 10,Episode 5: I hate your trainers. (12 November 2020),Paint a picture of a howling wolf on this teapot. You may not touch the teapot or remove it from the turntable. The turntable will keep speeding up until you name 20 US states.,Richard Herring,5
120,Series 10,Episode 5: I hate your trainers. (12 November 2020),Do something out of character with this £20.,Daisy May Cooper,5
121,Series 10,Episode 5: I hate your trainers. (12 November 2020),Do something out of character with this £20.,Johnny Vegas,4
122,Series 10,Episode 5: I hate your trainers. (12 November 2020),Do something out of character with this £20.,Katherine Parkinson,3
123,Series 10,Episode 5: I hate your trainers. (12 November 2020),Do something out of character with this £20.,Mawaan Rizwan,5
124,Series 10,Episode 5: I hate your trainers. (12 November 2020),Do something out of character with this £20.,Richard Herring,4
125,Series 10,Episode 5: I hate your trainers. (12 November 2020),Team: Eat the most watermelon. You must not feed yourself.,Daisy May Cooper,5
126,Series 10,Episode 5: I hate your trainers. (12 November 2020),Team: Eat the most watermelon. You must not feed yourself.,Johnny Vegas,3
127,Series 10,Episode 5: I hate your trainers. (12 November 2020),Team: Eat the most watermelon. You must not feed yourself.,Katherine Parkinson,3
128,Series 10,Episode 5: I hate your trainers. (12 November 2020),Team: Eat the most watermelon. You must not feed yourself.,Mawaan Rizwan,3
129,Series 10,Episode 5: I hate your trainers. (12 November 2020),Team: Eat the most watermelon. You must not feed yourself.,Richard Herring,5
130,Series 10,Episode 5: I hate your trainers. (12 November 2020),Live: Say the most new words of the right length without hesitating for more than two seconds. The person who says the fewest words each round is eliminated.,Daisy May Cooper,5
131,Series 10,Episode 5: I hate your trainers. (12 November 2020),Live: Say the most new words of the right length without hesitating for more than two seconds. The person who says the fewest words each round is eliminated.,Johnny Vegas,1
132,Series 10,Episode 5: I hate your trainers. (12 November 2020),Live: Say the most new words of the right length without hesitating for more than two seconds. The person who says the fewest words each round is eliminated.,Katherine Parkinson,4
133,Series 10,Episode 5: I hate your trainers. (12 November 2020),Live: Say the most new words of the right length without hesitating for more than two seconds. The person who says the fewest words each round is eliminated.,Mawaan Rizwan,3
134,Series 10,Episode 5: I hate your trainers. (12 November 2020),Live: Say the most new words of the right length without hesitating for more than two seconds. The person who says the fewest words each round is eliminated.,Richard Herring,3
135,Series 10,Episode 6: Hippopotamus. (19 November 2020),Prize: The most narcissistic thing.,Daisy May Cooper,2
136,Series 10,Episode 6: Hippopotamus. (19 November 2020),Prize: The most narcissistic thing.,Johnny Vegas,4
137,Series 10,Episode 6: Hippopotamus. (19 November 2020),Prize: The most narcissistic thing.,Katherine Parkinson,3
138,Series 10,Episode 6: Hippopotamus. (19 November 2020),Prize: The most narcissistic thing.,Mawaan Rizwan,5
139,Series 10,Episode 6: Hippopotamus. (19 November 2020),Prize: The most narcissistic thing.,Richard Herring,2
140,Series 10,Episode 6: Hippopotamus. (19 November 2020),"Silently make the tastiest and prettiest cocktail with the best name. If you make a noise over 60dB, you must pour your cocktail into the bucket and shout your given phrase at over 100dB.",Daisy May Cooper,2
141,Series 10,Episode 6: Hippopotamus. (19 November 2020),"Silently make the tastiest and prettiest cocktail with the best name. If you make a noise over 60dB, you must pour your cocktail into the bucket and shout your given phrase at over 100dB.",Johnny Vegas,4
142,Series 10,Episode 6: Hippopotamus. (19 November 2020),"Silently make the tastiest and prettiest cocktail with the best name. If you make a noise over 60dB, you must pour your cocktail into the bucket and shout your given phrase at over 100dB.",Katherine Parkinson,1
143,Series 10,Episode 6: Hippopotamus. (19 November 2020),"Silently make the tastiest and prettiest cocktail with the best name. If you make a noise over 60dB, you must pour your cocktail into the bucket and shout your given phrase at over 100dB.",Mawaan Rizwan,5
144,Series 10,Episode 6: Hippopotamus. (19 November 2020),"Silently make the tastiest and prettiest cocktail with the best name. If you make a noise over 60dB, you must pour your cocktail into the bucket and shout your given phrase at over 100dB.",Richard Herring,3
145,Series 10,Episode 6: Hippopotamus. (19 November 2020),Draw the animal that is watching you. The animal is wearing a hat. You may not leave the room and you must look in the mirror at all times.,Daisy May Cooper,4
146,Series 10,Episode 6: Hippopotamus. (19 November 2020),Draw the animal that is watching you. The animal is wearing a hat. You may not leave the room and you must look in the mirror at all times.,Johnny Vegas,5
147,Series 10,Episode 6: Hippopotamus. (19 November 2020),Draw the animal that is watching you. The animal is wearing a hat. You may not leave the room and you must look in the mirror at all times.,Katherine Parkinson,1
148,Series 10,Episode 6: Hippopotamus. (19 November 2020),Draw the animal that is watching you. The animal is wearing a hat. You may not leave the room and you must look in the mirror at all times.,Mawaan Rizwan,3
149,Series 10,Episode 6: Hippopotamus. (19 November 2020),Draw the animal that is watching you. The animal is wearing a hat. You may not leave the room and you must look in the mirror at all times.,Richard Herring,2
150,Series 10,Episode 6: Hippopotamus. (19 November 2020),Get the most water from butt A to butt B before it drains. You may not move a butt in the first five minutes.,Daisy May Cooper,4
151,Series 10,Episode 6: Hippopotamus. (19 November 2020),Get the most water from butt A to butt B before it drains. You may not move a butt in the first five minutes.,Johnny Vegas,2
152,Series 10,Episode 6: Hippopotamus. (19 November 2020),Get the most water from butt A to butt B before it drains. You may not move a butt in the first five minutes.,Katherine Parkinson,1
153,Series 10,Episode 6: Hippopotamus. (19 November 2020),Get the most water from butt A to butt B before it drains. You may not move a butt in the first five minutes.,Mawaan Rizwan,5
154,Series 10,Episode 6: Hippopotamus. (19 November 2020),Get the most water from butt A to butt B before it drains. You may not move a butt in the first five minutes.,Richard Herring,3
155,Series 10,Episode 6: Hippopotamus. (19 November 2020),"Team Live: Draw the animal named on your card. Each artist may draw three straight lines at a time before their teammates take a guess, then play will pass to the other team.",Daisy May Cooper,2
156,Series 10,Episode 6: Hippopotamus. (19 November 2020),"Team Live: Draw the animal named on your card. Each artist may draw three straight lines at a time before their teammates take a guess, then play will pass to the other team.",Johnny Vegas,4
157,Series 10,Episode 6: Hippopotamus. (19 November 2020),"Team Live: Draw the animal named on your card. Each artist may draw three straight lines at a time before their teammates take a guess, then play will pass to the other team.",Katherine Parkinson,4
158,Series 10,Episode 6: Hippopotamus. (19 November 2020),"Team Live: Draw the animal named on your card. Each artist may draw three straight lines at a time before their teammates take a guess, then play will pass to the other team.",Mawaan Rizwan,4
159,Series 10,Episode 6: Hippopotamus. (19 November 2020),"Team Live: Draw the animal named on your card. Each artist may draw three straight lines at a time before their teammates take a guess, then play will pass to the other team.",Richard Herring,2
160,Series 10,Episode 7: Legit glass. (26 November 2020),Prize: Best thing that's bigger at the top than the bottom.,Daisy May Cooper,2
161,Series 10,Episode 7: Legit glass. (26 November 2020),Prize: Best thing that's bigger at the top than the bottom.,Johnny Vegas,3
162,Series 10,Episode 7: Legit glass. (26 November 2020),Prize: Best thing that's bigger at the top than the bottom.,Katherine Parkinson,4
163,Series 10,Episode 7: Legit glass. (26 November 2020),Prize: Best thing that's bigger at the top than the bottom.,Mawaan Rizwan,5
164,Series 10,Episode 7: Legit glass. (26 November 2020),Prize: Best thing that's bigger at the top than the bottom.,Richard Herring,1
165,Series 10,Episode 7: Legit glass. (26 November 2020),"Swap chickens with the remote-control car, then get chicken 1 to the finish line and chicken 2 to the start line. If either you or the car touches the little robots, your attempt is over.",Daisy May Cooper,0
166,Series 10,Episode 7: Legit glass. (26 November 2020),"Swap chickens with the remote-control car, then get chicken 1 to the finish line and chicken 2 to the start line. If either you or the car touches the little robots, your attempt is over.",Johnny Vegas,4
167,Series 10,Episode 7: Legit glass. (26 November 2020),"Swap chickens with the remote-control car, then get chicken 1 to the finish line and chicken 2 to the start line. If either you or the car touches the little robots, your attempt is over.",Katherine Parkinson,0
168,Series 10,Episode 7: Legit glass. (26 November 2020),"Swap chickens with the remote-control car, then get chicken 1 to the finish line and chicken 2 to the start line. If either you or the car touches the little robots, your attempt is over.",Mawaan Rizwan,5
169,Series 10,Episode 7: Legit glass. (26 November 2020),"Swap chickens with the remote-control car, then get chicken 1 to the finish line and chicken 2 to the start line. If either you or the car touches the little robots, your attempt is over.",Richard Herring,3
170,Series 10,Episode 7: Legit glass. (26 November 2020),Team: Tell your teammates what is in this safe by speaking into this microphone. Your teammates will hear what you record backwards.,Daisy May Cooper,0
171,Series 10,Episode 7: Legit glass. (26 November 2020),Team: Tell your teammates what is in this safe by speaking into this microphone. Your teammates will hear what you record backwards.,Johnny Vegas,0
172,Series 10,Episode 7: Legit glass. (26 November 2020),Team: Tell your teammates what is in this safe by speaking into this microphone. Your teammates will hear what you record backwards.,Katherine Parkinson,0
173,Series 10,Episode 7: Legit glass. (26 November 2020),Team: Tell your teammates what is in this safe by speaking into this microphone. Your teammates will hear what you record backwards.,Mawaan Rizwan,3
174,Series 10,Episode 7: Legit glass. (26 November 2020),Team: Tell your teammates what is in this safe by speaking into this microphone. Your teammates will hear what you record backwards.,Richard Herring,0
175,Series 10,Episode 7: Legit glass. (26 November 2020),"Make the best and longest-lasting marble run. After releasing your marble, you may do nothing to alter its path. You have one official attempt.",Daisy May Cooper,4
176,Series 10,Episode 7: Legit glass. (26 November 2020),"Make the best and longest-lasting marble run. After releasing your marble, you may do nothing to alter its path. You have one official attempt.",Johnny Vegas,2
177,Series 10,Episode 7: Legit glass. (26 November 2020),"Make the best and longest-lasting marble run. After releasing your marble, you may do nothing to alter its path. You have one official attempt.",Katherine Parkinson,5
178,Series 10,Episode 7: Legit glass. (26 November 2020),"Make the best and longest-lasting marble run. After releasing your marble, you may do nothing to alter its path. You have one official attempt.",Mawaan Rizwan,0
179,Series 10,Episode 7: Legit glass. (26 November 2020),"Make the best and longest-lasting marble run. After releasing your marble, you may do nothing to alter its path. You have one official attempt.",Richard Herring,3
180,Series 10,Episode 7: Legit glass. (26 November 2020),Live: Communicate the item on your card to the Taskmaster as quickly as possible. You may not use any words or actions.,Daisy May Cooper,5
181,Series 10,Episode 7: Legit glass. (26 November 2020),Live: Communicate the item on your card to the Taskmaster as quickly as possible. You may not use any words or actions.,Johnny Vegas,4
182,Series 10,Episode 7: Legit glass. (26 November 2020),Live: Communicate the item on your card to the Taskmaster as quickly as possible. You may not use any words or actions.,Katherine Parkinson,1
183,Series 10,Episode 7: Legit glass. (26 November 2020),Live: Communicate the item on your card to the Taskmaster as quickly as possible. You may not use any words or actions.,Mawaan Rizwan,3
184,Series 10,Episode 7: Legit glass. (26 November 2020),Live: Communicate the item on your card to the Taskmaster as quickly as possible. You may not use any words or actions.,Richard Herring,2
185,Series 10,Episode 7: Legit glass. (26 November 2020),Work out how many sheets of toilet paper are on this roll.,Daisy May Cooper,0
186,Series 10,Episode 7: Legit glass. (26 November 2020),Work out how many sheets of toilet paper are on this roll.,Johnny Vegas,1
187,Series 10,Episode 7: Legit glass. (26 November 2020),Work out how many sheets of toilet paper are on this roll.,Katherine Parkinson,0
188,Series 10,Episode 7: Legit glass. (26 November 2020),Work out how many sheets of toilet paper are on this roll.,Mawaan Rizwan,0
189,Series 10,Episode 7: Legit glass. (26 November 2020),Work out how many sheets of toilet paper are on this roll.,Richard Herring,0
190,Series 10,Episode 8: Moments of silence. (3 December 2020),Prize: Best thing with wings.,Daisy May Cooper,2
