,season,task_episode,task_description,task_contestant,task_score
0,Series 10,Episode 1: God's haemorrhoid. (15 October 2020),Prize: Nicest thing to put in your mouth.,Daisy May Cooper,5
1,Series 10,Episode 1: God's haemorrhoid. (15 October 2020),Prize: Nicest thing to put in your mouth.,Johnny Vegas,3
2,Series 10,Episode 1: God's haemorrhoid. (15 October 2020),Prize: Nicest thing to put in your mouth.,Katherine Parkinson,2
3,Series 10,Episode 1: God's haemorrhoid. (15 October 2020),Prize: Nicest thing to put in your mouth.,Mawaan Rizwan,1
4,Series 10,Episode 1: God's haemorrhoid. (15 October 2020),Prize: Nicest thing to put in your mouth.,Richard Herring,4
5,Series 10,Episode 1: God's haemorrhoid. (15 October 2020),Knock the coconut off its perch.,Daisy May Cooper,0
6,Series 10,Episode 1: God's haemorrhoid. (15 October 2020),Knock the coconut off its perch.,Johnny Vegas,0
7,Series 10,Episode 1: God's haemorrhoid. (15 October 2020),Knock the coconut off its perch.,Katherine Parkinson,0
8,Series 10,Episode 1: God's haemorrhoid. (15 October 2020),Knock the coconut off its perch.,Mawaan Rizwan,0
9,Series 10,Episode 1: God's haemorrhoid. (15 October 2020),Knock the coconut off its perch.,Richard Herring,0
10,Series 10,Episode 1: God's haemorrhoid. (15 October 2020),Make the largest object properly vanish. You may not use any editing trickery.,Daisy May Cooper,1
11,Series 10,Episode 1: God's haemorrhoid. (15 October 2020),Make the largest object properly vanish. You may not use any editing trickery.,Johnny Vegas,4
12,Series 10,Episode 1: God's haemorrhoid. (15 October 2020),Make the largest object properly vanish. You may not use any editing trickery.,Katherine Parkinson,3
13,Series 10,Episode 1: God's haemorrhoid. (15 October 2020),Make the largest object properly vanish. You may not use any editing trickery.,Mawaan Rizwan,5
14,Series 10,Episode 1: God's haemorrhoid. (15 October 2020),Make the largest object properly vanish. You may not use any editing trickery.,Richard Herring,3
15,Series 10,Episode 1: God's haemorrhoid. (15 October 2020),Land the most eggs in the pan. You may not throw any eggs. You may not leave the balcony. You may only use the contents of one box.,Daisy May Cooper,1
16,Series 10,Episode 1: God's haemorrhoid. (15 October 2020),Land the most eggs in the pan. You may not throw any eggs. You may not leave the balcony. You may only use the contents of one box.,Johnny Vegas,0
17,Series 10,Episode 1: God's haemorrhoid. (15 October 2020),Land the most eggs in the pan. You may not throw any eggs. You may not leave the balcony. You may only use the contents of one box.,Katherine Parkinson,0
18,Series 10,Episode 1: God's haemorrhoid. (15 October 2020),Land the most eggs in the pan. You may not throw any eggs. You may not leave the balcony. You may only use the contents of one box.,Mawaan Rizwan,0
19,Series 10,Episode 1: God's haemorrhoid. (15 October 2020),Land the most eggs in the pan. You may not throw any eggs. You may not leave the balcony. You may only use the contents of one box.,Richard Herring,0
20,Series 10,Episode 1: God's haemorrhoid. (15 October 2020),Live: Get the most balls of the same colour in your bucket using only the litter pickers. You must stay on your spot.,Daisy May Cooper,4
21,Series 10,Episode 1: God's haemorrhoid. (15 October 2020),Live: Get the most balls of the same colour in your bucket using only the litter pickers. You must stay on your spot.,Johnny Vegas,3
22,Series 10,Episode 1: God's haemorrhoid. (15 October 2020),Live: Get the most balls of the same colour in your bucket using only the litter pickers. You must stay on your spot.,Katherine Parkinson,1
23,Series 10,Episode 1: God's haemorrhoid. (15 October 2020),Live: Get the most balls of the same colour in your bucket using only the litter pickers. You must stay on your spot.,Mawaan Rizwan,2
24,Series 10,Episode 1: God's haemorrhoid. (15 October 2020),Live: Get the most balls of the same colour in your bucket using only the litter pickers. You must stay on your spot.,Richard Herring,5
25,Series 10,Episode 2: A documentary about a despot. (22 October 2020),Prize: Best thing with loads of holes in it.,Daisy May Cooper,2
26,Series 10,Episode 2: A documentary about a despot. (22 October 2020),Prize: Best thing with loads of holes in it.,Johnny Vegas,1
27,Series 10,Episode 2: A documentary about a despot. (22 October 2020),Prize: Best thing with loads of holes in it.,Katherine Parkinson,4
28,Series 10,Episode 2: A documentary about a despot. (22 October 2020),Prize: Best thing with loads of holes in it.,Mawaan Rizwan,5
29,Series 10,Episode 2: A documentary about a despot. (22 October 2020),Prize: Best thing with loads of holes in it.,Richard Herring,3
30,Series 10,Episode 2: A documentary about a despot. (22 October 2020),Team: Find the treasure. You may not break the box.,Daisy May Cooper,4
31,Series 10,Episode 2: A documentary about a despot. (22 October 2020),Team: Find the treasure. You may not break the box.,Johnny Vegas,0
32,Series 10,Episode 2: A documentary about a despot. (22 October 2020),Team: Find the treasure. You may not break the box.,Katherine Parkinson,5
33,Series 10,Episode 2: A documentary about a despot. (22 October 2020),Team: Find the treasure. You may not break the box.,Mawaan Rizwan,5
34,Series 10,Episode 2: A documentary about a despot. (22 October 2020),Team: Find the treasure. You may not break the box.,Richard Herring,4
35,Series 10,Episode 2: A documentary about a despot. (22 October 2020),"Make the best portrait of the Taskmaster and his favourite toy using only balloons, pegs and your own clothes. Your portrait must fill the frame.",Daisy May Cooper,1
36,Series 10,Episode 2: A documentary about a despot. (22 October 2020),"Make the best portrait of the Taskmaster and his favourite toy using only balloons, pegs and your own clothes. Your portrait must fill the frame.",Johnny Vegas,5
37,Series 10,Episode 2: A documentary about a despot. (22 October 2020),"Make the best portrait of the Taskmaster and his favourite toy using only balloons, pegs and your own clothes. Your portrait must fill the frame.",Katherine Parkinson,4
38,Series 10,Episode 2: A documentary about a despot. (22 October 2020),"Make the best portrait of the Taskmaster and his favourite toy using only balloons, pegs and your own clothes. Your portrait must fill the frame.",Mawaan Rizwan,2
39,Series 10,Episode 2: A documentary about a despot. (22 October 2020),"Make the best portrait of the Taskmaster and his favourite toy using only balloons, pegs and your own clothes. Your portrait must fill the frame.",Richard Herring,2
