,season,task_episode,task_description,task_contestant,task_score
211,Series 6,Episode 8: What kind of pictures? (20 June 2018),Put something genuinely surprising inside a chocolate egg.,Asim Chaudhry,3
212,Series 6,Episode 8: What kind of pictures? (20 June 2018),Put something genuinely surprising inside a chocolate egg.,Liza Tarbuck,3
213,Series 6,Episode 8: What kind of pictures? (20 June 2018),Put something genuinely surprising inside a chocolate egg.,Russell Howard,3
214,Series 6,Episode 8: What kind of pictures? (20 June 2018),Put something genuinely surprising inside a chocolate egg.,Tim Vine,4
215,Series 6,Episode 8: What kind of pictures? (20 June 2018),Find out the most remarkable thing you have in common with this woman.,Alice Levine,2
216,Series 6,Episode 8: What kind of pictures? (20 June 2018),Find out the most remarkable thing you have in common with this woman.,Asim Chaudhry,5
217,Series 6,Episode 8: What kind of pictures? (20 June 2018),Find out the most remarkable thing you have in common with this woman.,Liza Tarbuck,3
218,Series 6,Episode 8: What kind of pictures? (20 June 2018),Find out the most remarkable thing you have in common with this woman.,Russell Howard,4
219,Series 6,Episode 8: What kind of pictures? (20 June 2018),Find out the most remarkable thing you have in common with this woman.,Tim Vine,2
220,Series 6,Episode 8: What kind of pictures? (20 June 2018),"While wearing high heels, create the best dot to dot picture on the canvas.",Alice Levine,2
221,Series 6,Episode 8: What kind of pictures? (20 June 2018),"While wearing high heels, create the best dot to dot picture on the canvas.",Asim Chaudhry,1
222,Series 6,Episode 8: What kind of pictures? (20 June 2018),"While wearing high heels, create the best dot to dot picture on the canvas.",Liza Tarbuck,4
223,Series 6,Episode 8: What kind of pictures? (20 June 2018),"While wearing high heels, create the best dot to dot picture on the canvas.",Russell Howard,3
224,Series 6,Episode 8: What kind of pictures? (20 June 2018),"While wearing high heels, create the best dot to dot picture on the canvas.",Tim Vine,5
225,Series 6,Episode 8: What kind of pictures? (20 June 2018),Live: Stick a plaster to the correct body part out of three potential options. The correct body part will be the one that comes second in the dictionary. The slowest person to stick a plaster to the body part will be eliminated,Alice Levine,3
226,Series 6,Episode 8: What kind of pictures? (20 June 2018),Live: Stick a plaster to the correct body part out of three potential options. The correct body part will be the one that comes second in the dictionary. The slowest person to stick a plaster to the body part will be eliminated,Asim Chaudhry,2
227,Series 6,Episode 8: What kind of pictures? (20 June 2018),Live: Stick a plaster to the correct body part out of three potential options. The correct body part will be the one that comes second in the dictionary. The slowest person to stick a plaster to the body part will be eliminated,Liza Tarbuck,4
228,Series 6,Episode 8: What kind of pictures? (20 June 2018),Live: Stick a plaster to the correct body part out of three potential options. The correct body part will be the one that comes second in the dictionary. The slowest person to stick a plaster to the body part will be eliminated,Russell Howard,5
229,Series 6,Episode 8: What kind of pictures? (20 June 2018),Live: Stick a plaster to the correct body part out of three potential options. The correct body part will be the one that comes second in the dictionary. The slowest person to stick a plaster to the body part will be eliminated,Tim Vine,1
230,Series 6,Episode 8: What kind of pictures? (20 June 2018),Receive a text message the quickest.,Alice Levine,0
231,Series 6,Episode 8: What kind of pictures? (20 June 2018),Receive a text message the quickest.,Asim Chaudhry,0
232,Series 6,Episode 8: What kind of pictures? (20 June 2018),Receive a text message the quickest.,Liza Tarbuck,0
233,Series 6,Episode 8: What kind of pictures? (20 June 2018),Receive a text message the quickest.,Russell Howard,1
234,Series 6,Episode 8: What kind of pictures? (20 June 2018),Receive a text message the quickest.,Tim Vine,0
235,Series 6,Episode 9: The Bubble Brothers. (27 June 2018),Prize: Most pleasing thing that is the same size as a cat.,Alice Levine,3
236,Series 6,Episode 9: The Bubble Brothers. (27 June 2018),Prize: Most pleasing thing that is the same size as a cat.,Asim Chaudhry,2
237,Series 6,Episode 9: The Bubble Brothers. (27 June 2018),Prize: Most pleasing thing that is the same size as a cat.,Liza Tarbuck,1
238,Series 6,Episode 9: The Bubble Brothers. (27 June 2018),Prize: Most pleasing thing that is the same size as a cat.,Russell Howard,4
239,Series 6,Episode 9: The Bubble Brothers. (27 June 2018),Prize: Most pleasing thing that is the same size as a cat.,Tim Vine,5
240,Series 6,Episode 9: The Bubble Brothers. (27 June 2018),Make the biggest bubble and then burst it with your nose.,Alice Levine,5
241,Series 6,Episode 9: The Bubble Brothers. (27 June 2018),Make the biggest bubble and then burst it with your nose.,Asim Chaudhry,3
242,Series 6,Episode 9: The Bubble Brothers. (27 June 2018),Make the biggest bubble and then burst it with your nose.,Liza Tarbuck,4
243,Series 6,Episode 9: The Bubble Brothers. (27 June 2018),Make the biggest bubble and then burst it with your nose.,Russell Howard,1
244,Series 6,Episode 9: The Bubble Brothers. (27 June 2018),Make the biggest bubble and then burst it with your nose.,Tim Vine,2
245,Series 6,Episode 9: The Bubble Brothers. (27 June 2018),Team: Perform a song for 'Taskmaster: The Musical'.,Alice Levine,3
246,Series 6,Episode 9: The Bubble Brothers. (27 June 2018),Team: Perform a song for 'Taskmaster: The Musical'.,Asim Chaudhry,2
247,Series 6,Episode 9: The Bubble Brothers. (27 June 2018),Team: Perform a song for 'Taskmaster: The Musical'.,Liza Tarbuck,2
248,Series 6,Episode 9: The Bubble Brothers. (27 June 2018),Team: Perform a song for 'Taskmaster: The Musical'.,Russell Howard,3
249,Series 6,Episode 9: The Bubble Brothers. (27 June 2018),Team: Perform a song for 'Taskmaster: The Musical'.,Tim Vine,2
250,Series 6,Episode 9: The Bubble Brothers. (27 June 2018),Make an outfit of things brought from this stationary shop.,Alice Levine,0
251,Series 6,Episode 9: The Bubble Brothers. (27 June 2018),Make an outfit of things brought from this stationary shop.,Asim Chaudhry,0
252,Series 6,Episode 9: The Bubble Brothers. (27 June 2018),Make an outfit of things brought from this stationary shop.,Liza Tarbuck,0
253,Series 6,Episode 9: The Bubble Brothers. (27 June 2018),Make an outfit of things brought from this stationary shop.,Russell Howard,0
254,Series 6,Episode 9: The Bubble Brothers. (27 June 2018),Make an outfit of things brought from this stationary shop.,Tim Vine,0
255,Series 6,Episode 9: The Bubble Brothers. (27 June 2018),Make this plastic bag as heavy as possible in ten minutes. It must then hang unassisted for one minute.,Alice Levine,3 1
256,Series 6,Episode 9: The Bubble Brothers. (27 June 2018),Make this plastic bag as heavy as possible in ten minutes. It must then hang unassisted for one minute.,Asim Chaudhry,4 1
257,Series 6,Episode 9: The Bubble Brothers. (27 June 2018),Make this plastic bag as heavy as possible in ten minutes. It must then hang unassisted for one minute.,Liza Tarbuck,5
258,Series 6,Episode 9: The Bubble Brothers. (27 June 2018),Make this plastic bag as heavy as possible in ten minutes. It must then hang unassisted for one minute.,Russell Howard,2
259,Series 6,Episode 9: The Bubble Brothers. (27 June 2018),Make this plastic bag as heavy as possible in ten minutes. It must then hang unassisted for one minute.,Tim Vine,1
260,Series 6,Episode 9: The Bubble Brothers. (27 June 2018),Live: Pick up the most points (differently sized balls) and hold them above the ground after 100 seconds.,Alice Levine,4
261,Series 6,Episode 9: The Bubble Brothers. (27 June 2018),Live: Pick up the most points (differently sized balls) and hold them above the ground after 100 seconds.,Asim Chaudhry,1
262,Series 6,Episode 9: The Bubble Brothers. (27 June 2018),Live: Pick up the most points (differently sized balls) and hold them above the ground after 100 seconds.,Liza Tarbuck,2
263,Series 6,Episode 9: The Bubble Brothers. (27 June 2018),Live: Pick up the most points (differently sized balls) and hold them above the ground after 100 seconds.,Russell Howard,5
264,Series 6,Episode 9: The Bubble Brothers. (27 June 2018),Live: Pick up the most points (differently sized balls) and hold them above the ground after 100 seconds.,Tim Vine,4
265,Series 6,Episode 10: He was a different man. (4 July 2018),Prize: Least appropriate wedding accessory.,Alice Levine,3
266,Series 6,Episode 10: He was a different man. (4 July 2018),Prize: Least appropriate wedding accessory.,Asim Chaudhry,5
267,Series 6,Episode 10: He was a different man. (4 July 2018),Prize: Least appropriate wedding accessory.,Liza Tarbuck,1
268,Series 6,Episode 10: He was a different man. (4 July 2018),Prize: Least appropriate wedding accessory.,Russell Howard,4
269,Series 6,Episode 10: He was a different man. (4 July 2018),Prize: Least appropriate wedding accessory.,Tim Vine,2
270,Series 6,Episode 10: He was a different man. (4 July 2018),"Knock over the fewest skittles using only objects on the table. You have a choice of one item in each of the three sections, or two items in one section.",Alice Levine,3
271,Series 6,Episode 10: He was a different man. (4 July 2018),"Knock over the fewest skittles using only objects on the table. You have a choice of one item in each of the three sections, or two items in one section.",Asim Chaudhry,3
272,Series 6,Episode 10: He was a different man. (4 July 2018),"Knock over the fewest skittles using only objects on the table. You have a choice of one item in each of the three sections, or two items in one section.",Liza Tarbuck,4
273,Series 6,Episode 10: He was a different man. (4 July 2018),"Knock over the fewest skittles using only objects on the table. You have a choice of one item in each of the three sections, or two items in one section.",Russell Howard,5
274,Series 6,Episode 10: He was a different man. (4 July 2018),"Knock over the fewest skittles using only objects on the table. You have a choice of one item in each of the three sections, or two items in one section.",Tim Vine,1
275,Series 6,Episode 10: He was a different man. (4 July 2018),Blow out a candle from the longest distance.,Alice Levine,3
276,Series 6,Episode 10: He was a different man. (4 July 2018),Blow out a candle from the longest distance.,Asim Chaudhry,5
277,Series 6,Episode 10: He was a different man. (4 July 2018),Blow out a candle from the longest distance.,Liza Tarbuck,0
278,Series 6,Episode 10: He was a different man. (4 July 2018),Blow out a candle from the longest distance.,Russell Howard,2
279,Series 6,Episode 10: He was a different man. (4 July 2018),Blow out a candle from the longest distance.,Tim Vine,4
280,Series 6,Episode 10: He was a different man. (4 July 2018),Declare your love for the Taskmaster in the most meaningful way.,Alice Levine,2
281,Series 6,Episode 10: He was a different man. (4 July 2018),Declare your love for the Taskmaster in the most meaningful way.,Asim Chaudhry,5
282,Series 6,Episode 10: He was a different man. (4 July 2018),Declare your love for the Taskmaster in the most meaningful way.,Liza Tarbuck,5
283,Series 6,Episode 10: He was a different man. (4 July 2018),Declare your love for the Taskmaster in the most meaningful way.,Russell Howard,1
284,Series 6,Episode 10: He was a different man. (4 July 2018),Declare your love for the Taskmaster in the most meaningful way.,Tim Vine,3
285,Series 6,Episode 10: He was a different man. (4 July 2018),"Live: Pick a number - if it is higher than that of the person to your left, you earn one rosette. If it is lower than that of the person on your right, you earn another rosette. If you pick the same number as someone else, you lose all your rosettes.",Alice Levine,5
286,Series 6,Episode 10: He was a different man. (4 July 2018),"Live: Pick a number - if it is higher than that of the person to your left, you earn one rosette. If it is lower than that of the person on your right, you earn another rosette. If you pick the same number as someone else, you lose all your rosettes.",Asim Chaudhry,4
287,Series 6,Episode 10: He was a different man. (4 July 2018),"Live: Pick a number - if it is higher than that of the person to your left, you earn one rosette. If it is lower than that of the person on your right, you earn another rosette. If you pick the same number as someone else, you lose all your rosettes.",Liza Tarbuck,0
288,Series 6,Episode 10: He was a different man. (4 July 2018),"Live: Pick a number - if it is higher than that of the person to your left, you earn one rosette. If it is lower than that of the person on your right, you earn another rosette. If you pick the same number as someone else, you lose all your rosettes.",Russell Howard,0
289,Series 6,Episode 10: He was a different man. (4 July 2018),"Live: Pick a number - if it is higher than that of the person to your left, you earn one rosette. If it is lower than that of the person on your right, you earn another rosette. If you pick the same number as someone else, you lose all your rosettes.",Tim Vine,3
