,season,task_episode,task_description,task_contestant,task_score
43,Series 6,Episode 2: Tarpeters. (9 May 2018),Team: Keep Alex dry.,Russell Howard,4
44,Series 6,Episode 2: Tarpeters. (9 May 2018),Team: Keep Alex dry.,Tim Vine,1
45,Series 6,Episode 2: Tarpeters. (9 May 2018),"Take a picture of a group of people, each holding an egg. Most eggs and people wins. You must also be in the picture.",Alice Levine,2
46,Series 6,Episode 2: Tarpeters. (9 May 2018),"Take a picture of a group of people, each holding an egg. Most eggs and people wins. You must also be in the picture.",Asim Chaudhry,3
47,Series 6,Episode 2: Tarpeters. (9 May 2018),"Take a picture of a group of people, each holding an egg. Most eggs and people wins. You must also be in the picture.",Liza Tarbuck,5
48,Series 6,Episode 2: Tarpeters. (9 May 2018),"Take a picture of a group of people, each holding an egg. Most eggs and people wins. You must also be in the picture.",Russell Howard,4
49,Series 6,Episode 2: Tarpeters. (9 May 2018),"Take a picture of a group of people, each holding an egg. Most eggs and people wins. You must also be in the picture.",Tim Vine,1
50,Series 6,Episode 2: Tarpeters. (9 May 2018),Make this wind-up man go on the most extraordinary journey.,Alice Levine,3
51,Series 6,Episode 2: Tarpeters. (9 May 2018),Make this wind-up man go on the most extraordinary journey.,Asim Chaudhry,5
52,Series 6,Episode 2: Tarpeters. (9 May 2018),Make this wind-up man go on the most extraordinary journey.,Liza Tarbuck,4
53,Series 6,Episode 2: Tarpeters. (9 May 2018),Make this wind-up man go on the most extraordinary journey.,Russell Howard,3
54,Series 6,Episode 2: Tarpeters. (9 May 2018),Make this wind-up man go on the most extraordinary journey.,Tim Vine,3
55,Series 6,Episode 2: Tarpeters. (9 May 2018),"Live: The Taskmaster must guess if you are concealing a grape in your hand or in your mouth. If he guesses correctly, you are disqualified.",Alice Levine,0
56,Series 6,Episode 2: Tarpeters. (9 May 2018),"Live: The Taskmaster must guess if you are concealing a grape in your hand or in your mouth. If he guesses correctly, you are disqualified.",Asim Chaudhry,0
57,Series 6,Episode 2: Tarpeters. (9 May 2018),"Live: The Taskmaster must guess if you are concealing a grape in your hand or in your mouth. If he guesses correctly, you are disqualified.",Liza Tarbuck,0
58,Series 6,Episode 2: Tarpeters. (9 May 2018),"Live: The Taskmaster must guess if you are concealing a grape in your hand or in your mouth. If he guesses correctly, you are disqualified.",Russell Howard,0
59,Series 6,Episode 2: Tarpeters. (9 May 2018),"Live: The Taskmaster must guess if you are concealing a grape in your hand or in your mouth. If he guesses correctly, you are disqualified.",Tim Vine,0
60,Series 6,Episode 3: One warm prawn. (16 May 2018),Prize: Most magnificent day trip.,Alice Levine,1
61,Series 6,Episode 3: One warm prawn. (16 May 2018),Prize: Most magnificent day trip.,Asim Chaudhry,2
62,Series 6,Episode 3: One warm prawn. (16 May 2018),Prize: Most magnificent day trip.,Liza Tarbuck,4
63,Series 6,Episode 3: One warm prawn. (16 May 2018),Prize: Most magnificent day trip.,Russell Howard,3
64,Series 6,Episode 3: One warm prawn. (16 May 2018),Prize: Most magnificent day trip.,Tim Vine,5
65,Series 6,Episode 3: One warm prawn. (16 May 2018),Write a bedtime story for grown ups.,Alice Levine,1
66,Series 6,Episode 3: One warm prawn. (16 May 2018),Write a bedtime story for grown ups.,Asim Chaudhry,3
67,Series 6,Episode 3: One warm prawn. (16 May 2018),Write a bedtime story for grown ups.,Liza Tarbuck,5
68,Series 6,Episode 3: One warm prawn. (16 May 2018),Write a bedtime story for grown ups.,Russell Howard,3
69,Series 6,Episode 3: One warm prawn. (16 May 2018),Write a bedtime story for grown ups.,Tim Vine,2
70,Series 6,Episode 3: One warm prawn. (16 May 2018),Make something spin for the longest period of time.,Alice Levine,1
71,Series 6,Episode 3: One warm prawn. (16 May 2018),Make something spin for the longest period of time.,Asim Chaudhry,4
72,Series 6,Episode 3: One warm prawn. (16 May 2018),Make something spin for the longest period of time.,Liza Tarbuck,5
73,Series 6,Episode 3: One warm prawn. (16 May 2018),Make something spin for the longest period of time.,Russell Howard,2
74,Series 6,Episode 3: One warm prawn. (16 May 2018),Make something spin for the longest period of time.,Tim Vine,3
75,Series 6,Episode 3: One warm prawn. (16 May 2018),Identify the flavours of baby foods.,Alice Levine,2
76,Series 6,Episode 3: One warm prawn. (16 May 2018),Identify the flavours of baby foods.,Asim Chaudhry,5
77,Series 6,Episode 3: One warm prawn. (16 May 2018),Identify the flavours of baby foods.,Liza Tarbuck,4
78,Series 6,Episode 3: One warm prawn. (16 May 2018),Identify the flavours of baby foods.,Russell Howard,3
79,Series 6,Episode 3: One warm prawn. (16 May 2018),Identify the flavours of baby foods.,Tim Vine,1
80,Series 6,Episode 3: One warm prawn. (16 May 2018),Live: Catch the most socks and put them in a laundry basket without touching any pants.,Alice Levine,1
81,Series 6,Episode 3: One warm prawn. (16 May 2018),Live: Catch the most socks and put them in a laundry basket without touching any pants.,Asim Chaudhry,4
82,Series 6,Episode 3: One warm prawn. (16 May 2018),Live: Catch the most socks and put them in a laundry basket without touching any pants.,Liza Tarbuck,4
83,Series 6,Episode 3: One warm prawn. (16 May 2018),Live: Catch the most socks and put them in a laundry basket without touching any pants.,Russell Howard,5
84,Series 6,Episode 3: One warm prawn. (16 May 2018),Live: Catch the most socks and put them in a laundry basket without touching any pants.,Tim Vine,4
85,Series 6,Episode 4: BMXing! (23 May 2018),Prize: Most thought-provoking thing.,Alice Levine,3
86,Series 6,Episode 4: BMXing! (23 May 2018),Prize: Most thought-provoking thing.,Asim Chaudhry,1
87,Series 6,Episode 4: BMXing! (23 May 2018),Prize: Most thought-provoking thing.,Liza Tarbuck,2
88,Series 6,Episode 4: BMXing! (23 May 2018),Prize: Most thought-provoking thing.,Russell Howard,5
89,Series 6,Episode 4: BMXing! (23 May 2018),Prize: Most thought-provoking thing.,Tim Vine,4
90,Series 6,Episode 4: BMXing! (23 May 2018),Do something manly with a cardboard box in 20 minutes.,Alice Levine,4
91,Series 6,Episode 4: BMXing! (23 May 2018),Do something manly with a cardboard box in 20 minutes.,Asim Chaudhry,4
92,Series 6,Episode 4: BMXing! (23 May 2018),Do something manly with a cardboard box in 20 minutes.,Liza Tarbuck,5
93,Series 6,Episode 4: BMXing! (23 May 2018),Do something manly with a cardboard box in 20 minutes.,Russell Howard,4
94,Series 6,Episode 4: BMXing! (23 May 2018),Do something manly with a cardboard box in 20 minutes.,Tim Vine,4
95,Series 6,Episode 4: BMXing! (23 May 2018),Team: Have the most fun in 3 minutes.,Alice Levine,2
96,Series 6,Episode 4: BMXing! (23 May 2018),Team: Have the most fun in 3 minutes.,Asim Chaudhry,3
97,Series 6,Episode 4: BMXing! (23 May 2018),Team: Have the most fun in 3 minutes.,Liza Tarbuck,3
98,Series 6,Episode 4: BMXing! (23 May 2018),Team: Have the most fun in 3 minutes.,Russell Howard,2
99,Series 6,Episode 4: BMXing! (23 May 2018),Team: Have the most fun in 3 minutes.,Tim Vine,3
